director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,Spider-Man 2,Kirsten Dunst,Sam Raimi James Franco Action Adventure Fantasy Romance J.K. Simmons Kirsten Dunst
Shane Black,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Iron Man 3,Don Cheadle,Shane Black Jon Favreau Action Adventure Sci-Fi Robert Downey Jr. Don Cheadle
Tim Burton,Alan Rickman,Adventure Family Fantasy,Johnny Depp,Alice in Wonderland,Anne Hathaway,Tim Burton Alan Rickman Adventure Family Fantasy Johnny Depp Anne Hathaway
Brett Ratner,Kelsey Grammer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,X-Men: The Last Stand,Daniel Cudmore,Brett Ratner Kelsey Grammer Action Adventure Fantasy Sci-Fi Thriller Hugh Jackman Daniel Cudmore
Dan Scanlon,Tyler Labine,Adventure Animation Comedy Family Fantasy,Steve Buscemi,Monsters University,Sean Hayes,Dan Scanlon Tyler Labine Adventure Animation Comedy Family Fantasy Steve Buscemi Sean Hayes
Michael Bay,Kevin Dunn,Action Adventure Sci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen,Ramon Rodriguez,Michael Bay Kevin Dunn Action Adventure Sci-Fi Glenn Morshower Ramon Rodriguez
Michael Bay,Sophia Myles,Action Adventure Sci-Fi,Bingbing Li,Transformers: Age of Extinction,Kelsey Grammer,Michael Bay Sophia Myles Action Adventure Sci-Fi Bingbing Li Kelsey Grammer
Sam Raimi,Mila Kunis,Adventure Family Fantasy,Tim Holmes,Oz the Great and Powerful,James Franco,Sam Raimi Mila Kunis Adventure Family Fantasy Tim Holmes James Franco
Marc Webb,Andrew Garfield,Action Adventure Fantasy Sci-Fi,Emma Stone,The Amazing Spider-Man 2,B.J. Novak,Marc Webb Andrew Garfield Action Adventure Fantasy Sci-Fi Emma Stone B.J. Novak
Joseph Kosinski,Olivia Wilde,Action Adventure Sci-Fi,Jeff Bridges,TRON: Legacy,James Frain,Joseph Kosinski Olivia Wilde Action Adventure Sci-Fi Jeff Bridges James Frain
John Lasseter,Thomas Kretschmann,Adventure Animation Comedy Family Sport,Joe Mantegna,Cars 2,Eddie Izzard,John Lasseter Thomas Kretschmann Adventure Animation Comedy Family Sport Joe Mantegna Eddie Izzard
Martin Campbell,Temuera Morrison,Action Adventure Sci-Fi,Ryan Reynolds,Green Lantern,Taika Waititi,Martin Campbell Temuera Morrison Action Adventure Sci-Fi Ryan Reynolds Taika Waititi
Lee Unkrich,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Tom Hanks,Toy Story 3,Don Rickles,Lee Unkrich John Ratzenberger Adventure Animation Comedy Family Fantasy Tom Hanks Don Rickles
McG,Bryce Dallas Howard,Action Adventure Sci-Fi,Christian Bale,Terminator Salvation,Common,McG Bryce Dallas Howard Action Adventure Sci-Fi Christian Bale Common
James Wan,Paul Walker,Action Crime Thriller,Jason Statham,Furious 7,Vin Diesel,James Wan Paul Walker Action Crime Thriller Jason Statham Vin Diesel
Marc Forster,Brad Pitt,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,World War Z,Mireille Enos,Marc Forster Brad Pitt Action Adventure Horror Sci-Fi Thriller Peter Capaldi Mireille Enos
Bryan Singer,Peter Dinklage,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,X-Men: Days of Future Past,Hugh Jackman,Bryan Singer Peter Dinklage Action Adventure Fantasy Sci-Fi Thriller Jennifer Lawrence Hugh Jackman
J.J. Abrams,Bruce Greenwood,Action Adventure Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness,Noel Clarke,J.J. Abrams Bruce Greenwood Action Adventure Sci-Fi Benedict Cumberbatch Noel Clarke
Bryan Singer,Ewen Bremner,Adventure Fantasy,Eddie Marsan,Jack the Giant Slayer,Ralph Brown,Bryan Singer Ewen Bremner Adventure Fantasy Eddie Marsan Ralph Brown
Baz Luhrmann,Elizabeth Debicki,Drama Romance,Leonardo DiCaprio,The Great Gatsby,Steve Bisley,Baz Luhrmann Elizabeth Debicki Drama Romance Leonardo DiCaprio Steve Bisley
Mike Newell,Richard Coyle,Action Adventure Fantasy Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time,Reece Ritchie,Mike Newell Richard Coyle Action Adventure Fantasy Romance Jake Gyllenhaal Reece Ritchie
Guillermo del Toro,Clifton Collins Jr.,Action Adventure Sci-Fi,Charlie Hunnam,Pacific Rim,Larry Joe Campbell,Guillermo del Toro Clifton Collins Jr. Action Adventure Sci-Fi Charlie Hunnam Larry Joe Campbell
Michael Bay,Lester Speight,Action Adventure Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon,Kevin Dunn,Michael Bay Lester Speight Action Adventure Sci-Fi Glenn Morshower Kevin Dunn
Steven Spielberg,Ray Winstone,Action Adventure Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,Jim Broadbent,Steven Spielberg Ray Winstone Action Adventure Fantasy Harrison Ford Jim Broadbent
Peter Sohn,Jack McGraw,Adventure Animation Comedy Family Fantasy,A.J. Buckley,The Good Dinosaur,Peter Sohn,Peter Sohn Jack McGraw Adventure Animation Comedy Family Fantasy A.J. Buckley Peter Sohn
Mark Andrews,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,Brave,Julie Walters,Mark Andrews John Ratzenberger Adventure Animation Comedy Family Fantasy Kelly Macdonald Julie Walters
Justin Lin,Melissa Roxburgh,Action Adventure Sci-Fi Thriller,Sofia Boutella,Star Trek Beyond,Lydia Wilson,Justin Lin Melissa Roxburgh Action Adventure Sci-Fi Thriller Sofia Boutella Lydia Wilson
Andrew Stanton,Fred Willard,Adventure Animation Family Sci-Fi,John Ratzenberger,WALL·E,Jeff Garlin,Andrew Stanton Fred Willard Adventure Animation Family Sci-Fi John Ratzenberger Jeff Garlin
Brett Ratner,Dana Ivey,Action Comedy Crime Thriller,Tzi Ma,Rush Hour 3,Noémie Lenoir,Brett Ratner Dana Ivey Action Comedy Crime Thriller Tzi Ma Noémie Lenoir
Roland Emmerich,Liam James,Action Adventure Sci-Fi,Oliver Platt,2012,Tom McCarthy,Roland Emmerich Liam James Action Adventure Sci-Fi Oliver Platt Tom McCarthy
Robert Zemeckis,Colin Firth,Animation Drama Family Fantasy,Robin Wright,A Christmas Carol,Gary Oldman,Robert Zemeckis Colin Firth Animation Drama Family Fantasy Robin Wright Gary Oldman
Lana Wachowski,Mila Kunis,Action Adventure Sci-Fi,Channing Tatum,Jupiter Ascending,Eddie Redmayne,Lana Wachowski Mila Kunis Action Adventure Sci-Fi Channing Tatum Eddie Redmayne
David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,The Legend of Tarzan,Casper Crump,David Yates Alexander Skarsgård Action Adventure Drama Romance Christoph Waltz Casper Crump
Andrew Adamson,Kiran Shah,Adventure Family Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Shane Rangi,Andrew Adamson Kiran Shah Adventure Family Fantasy Jim Broadbent Shane Rangi
Bryan Singer,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse,Tye Sheridan,Bryan Singer Michael Fassbender Action Adventure Sci-Fi Jennifer Lawrence Tye Sheridan
Christopher Nolan,Heath Ledger,Action Crime Drama Thriller,Christian Bale,The Dark Knight,Morgan Freeman,Christopher Nolan Heath Ledger Action Crime Drama Thriller Christian Bale Morgan Freeman
Pete Docter,Delroy Lindo,Adventure Animation Comedy Family,John Ratzenberger,Up,Jess Harnell,Pete Docter Delroy Lindo Adventure Animation Comedy Family John Ratzenberger Jess Harnell
Rob Letterman,Rainn Wilson,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,Monsters vs. Aliens,Stephen Colbert,Rob Letterman Rainn Wilson Action Adventure Animation Comedy Family Sci-Fi Amy Poehler Stephen Colbert
Jon Favreau,Jeff Bridges,Action Adventure Sci-Fi,Robert Downey Jr.,Iron Man,Jon Favreau,Jon Favreau Jeff Bridges Action Adventure Sci-Fi Robert Downey Jr. Jon Favreau
Martin Scorsese,Christopher Lee,Adventure Drama Family Mystery,Chloë Grace Moretz,Hugo,Ray Winstone,Martin Scorsese Christopher Lee Adventure Drama Family Mystery Chloë Grace Moretz Ray Winstone
Barry Sonnenfeld,Salma Hayek,Action Comedy Sci-Fi Western,Will Smith,Wild Wild West,Bai Ling,Barry Sonnenfeld Salma Hayek Action Comedy Sci-Fi Western Will Smith Bai Ling
Rob Cohen,Brendan Fraser,Action Adventure Fantasy Horror Thriller,Jet Li,The Mummy: Tomb of the Dragon Emperor,Russell Wong,Rob Cohen Brendan Fraser Action Adventure Fantasy Horror Thriller Jet Li Russell Wong
David Ayer,Robin Atkin Downes,Action Adventure Comedy Sci-Fi,Will Smith,Suicide Squad,Ike Barinholtz,David Ayer Robin Atkin Downes Action Adventure Comedy Sci-Fi Will Smith Ike Barinholtz
Tom Shadyac,Morgan Freeman,Comedy Family Fantasy,Jimmy Bennett,Evan Almighty,Steve Carell,Tom Shadyac Morgan Freeman Comedy Family Fantasy Jimmy Bennett Steve Carell
Doug Liman,Lara Pulver,Action Adventure Sci-Fi,Tom Cruise,Edge of Tomorrow,Noah Taylor,Doug Liman Lara Pulver Action Adventure Sci-Fi Tom Cruise Noah Taylor
Kevin Reynolds,Rick Aviles,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,Waterworld,Zakes Mokae,Kevin Reynolds Rick Aviles Action Adventure Sci-Fi Thriller Jeanne Tripplehorn Zakes Mokae
Stephen Sommers,Dennis Quaid,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra,Leo Howard,Stephen Sommers Dennis Quaid Action Adventure Sci-Fi Thriller Joseph Gordon-Levitt Leo Howard
Pete Docter,Mindy Kaling,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,Inside Out,Phyllis Smith,Pete Docter Mindy Kaling Adventure Animation Comedy Drama Family Fantasy Amy Poehler Phyllis Smith
Jon Favreau,Bill Murray,Adventure Drama Family Fantasy,Scarlett Johansson,The Jungle Book,Garry Shandling,Jon Favreau Bill Murray Adventure Drama Family Fantasy Scarlett Johansson Garry Shandling
Jon Favreau,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,Iron Man 2,Jon Favreau,Jon Favreau Scarlett Johansson Action Adventure Sci-Fi Robert Downey Jr. Jon Favreau
Rupert Sanders,Kristen Stewart,Action Adventure Drama Fantasy,Chris Hemsworth,Snow White and the Huntsman,Sam Claflin,Rupert Sanders Kristen Stewart Action Adventure Drama Fantasy Chris Hemsworth Sam Claflin
Robert Stromberg,Sharlto Copley,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,Maleficent,Sam Riley,Robert Stromberg Sharlto Copley Action Adventure Family Fantasy Romance Angelina Jolie Pitt Sam Riley
Matt Reeves,Judy Greer,Action Adventure Drama Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes,Kodi Smit-McPhee,Matt Reeves Judy Greer Action Adventure Drama Sci-Fi Gary Oldman Kodi Smit-McPhee
Roland Joffé,Alice Englert,Action Adventure Romance Sci-Fi,Tamsin Egerton,The Lovers,Bipasha Basu,Roland Joffé Alice Englert Action Adventure Romance Sci-Fi Tamsin Egerton Bipasha Basu
Carl Rinsch,Cary-Hiroyuki Tagawa,Action Adventure Drama Fantasy,Keanu Reeves,47 Ronin,Jin Akanishi,Carl Rinsch Cary-Hiroyuki Tagawa Action Adventure Drama Fantasy Keanu Reeves Jin Akanishi
Anthony Russo,Chris Evans,Action Adventure Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier,Hayley Atwell,Anthony Russo Chris Evans Action Adventure Sci-Fi Scarlett Johansson Hayley Atwell
Mike Mitchell,Kathy Griffin,Adventure Animation Comedy Family Fantasy,Jon Hamm,Shrek Forever After,Mary Kay Place,Mike Mitchell Kathy Griffin Adventure Animation Comedy Family Fantasy Jon Hamm Mary Kay Place
Brad Bird,Chris Bauer,Action Adventure Family Mystery Sci-Fi,Judy Greer,Tomorrowland,Thomas Robinson,Brad Bird Chris Bauer Action Adventure Family Mystery Sci-Fi Judy Greer Thomas Robinson
Don Hall,Daniel Henney,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,Big Hero 6,Abraham Benrubi,Don Hall Daniel Henney Action Adventure Animation Comedy Drama Family Sci-Fi Damon Wayans Jr. Abraham Benrubi
Rich Moore,Sarah Silverman,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,Wreck-It Ralph,Joe Lo Truglio,Rich Moore Sarah Silverman Adventure Animation Comedy Family Sci-Fi Jack McBrayer Joe Lo Truglio
Robert Zemeckis,Eddie Deezen,Adventure Animation Family Fantasy,Tom Hanks,The Polar Express,Peter Scolari,Robert Zemeckis Eddie Deezen Adventure Animation Family Fantasy Tom Hanks Peter Scolari
Roland Emmerich,Sela Ward,Action Adventure Sci-Fi,Vivica A. Fox,Independence Day: Resurgence,Judd Hirsch,Roland Emmerich Sela Ward Action Adventure Sci-Fi Vivica A. Fox Judd Hirsch
Dean DeBlois,America Ferrera,Adventure Animation Family Fantasy,Gerard Butler,How to Train Your Dragon,Craig Ferguson,Dean DeBlois America Ferrera Adventure Animation Family Fantasy Gerard Butler Craig Ferguson
Jonathan Mostow,M.C. Gainey,Action Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines,Carolyn Hennesy,Jonathan Mostow M.C. Gainey Action Sci-Fi Nick Stahl Carolyn Hennesy
James Gunn,Vin Diesel,Action Adventure Sci-Fi,Bradley Cooper,Guardians of the Galaxy,Djimon Hounsou,James Gunn Vin Diesel Action Adventure Sci-Fi Bradley Cooper Djimon Hounsou
Christopher Nolan,Anne Hathaway,Adventure Drama Sci-Fi,Matthew McConaughey,Interstellar,Mackenzie Foy,Christopher Nolan Anne Hathaway Adventure Drama Sci-Fi Matthew McConaughey Mackenzie Foy
Christopher Nolan,Tom Hardy,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,Inception,Joseph Gordon-Levitt,Christopher Nolan Tom Hardy Action Adventure Sci-Fi Thriller Leonardo DiCaprio Joseph Gordon-Levitt
Hideaki Anno,Shin'ya Tsukamoto,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Godzilla Resurgence,Atsuko Maeda,Hideaki Anno Shin'ya Tsukamoto Action Adventure Drama Horror Sci-Fi Mark Chinnery Atsuko Maeda
Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,The Hobbit: An Unexpected Journey,James Nesbitt,Peter Jackson Adam Brown Adventure Fantasy Aidan Turner James Nesbitt
Rob Cohen,Vin Diesel,Action Crime Thriller,Paul Walker,The Fast and the Furious,Jordana Brewster,Rob Cohen Vin Diesel Action Crime Thriller Paul Walker Jordana Brewster
David Fincher,Jason Flemyng,Drama Fantasy Romance,Brad Pitt,The Curious Case of Benjamin Button,Julia Ormond,David Fincher Jason Flemyng Drama Fantasy Romance Brad Pitt Julia Ormond
Matthew Vaughn,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,X-Men: First Class,Oliver Platt,Matthew Vaughn Michael Fassbender Action Adventure Sci-Fi Jennifer Lawrence Oliver Platt
Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2,Josh Hutcherson,Francis Lawrence Philip Seymour Hoffman Adventure Sci-Fi Jennifer Lawrence Josh Hutcherson
Jon Turteltaub,Omar Benson Miller,Action Adventure Family Fantasy,Nicolas Cage,The Sorcerer's Apprentice,Robert Capron,Jon Turteltaub Omar Benson Miller Action Adventure Family Fantasy Nicolas Cage Robert Capron
Wolfgang Petersen,Mike Vogel,Action Adventure Drama Thriller,Jimmy Bennett,Poseidon,Andre Braugher,Wolfgang Petersen Mike Vogel Action Adventure Drama Thriller Jimmy Bennett Andre Braugher
James Bobin,Alan Rickman,Adventure Family Fantasy,Johnny Depp,Alice Through the Looking Glass,Anne Hathaway,James Bobin Alan Rickman Adventure Family Fantasy Johnny Depp Anne Hathaway
Chris Miller,Eric Idle,Adventure Animation Comedy Family Fantasy,Justin Timberlake,Shrek the Third,Rupert Everett,Chris Miller Eric Idle Adventure Animation Comedy Family Fantasy Justin Timberlake Rupert Everett
Duncan Jones,Callum Rennie,Action Adventure Fantasy,Dominic Cooper,Warcraft,Ruth Negga,Duncan Jones Callum Rennie Action Adventure Fantasy Dominic Cooper Ruth Negga
Alan Taylor,Emilia Clarke,Action Adventure Sci-Fi,J.K. Simmons,Terminator Genisys,Matt Smith,Alan Taylor Emilia Clarke Action Adventure Sci-Fi J.K. Simmons Matt Smith
Michael Apted,Shane Rangi,Adventure Family Fantasy,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader,Laura Brent,Michael Apted Shane Rangi Adventure Family Fantasy Bruce Spence Laura Brent
Michael Bay,Jaime King,Action Drama History Romance War,Jennifer Garner,Pearl Harbor,Mako,Michael Bay Jaime King Action Drama History Romance War Jennifer Garner Mako
Michael Bay,Michael O'Neill,Action Adventure Sci-Fi,Zack Ward,Transformers,Kevin Dunn,Michael Bay Michael O'Neill Action Adventure Sci-Fi Zack Ward Kevin Dunn
Oliver Stone,Angelina Jolie Pitt,Action Adventure Biography Drama History Romance War,Anthony Hopkins,Alexander,Brian Blessed,Oliver Stone Angelina Jolie Pitt Action Adventure Biography Drama History Romance War Anthony Hopkins Brian Blessed
David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,Harry Potter and the Order of the Phoenix,Fiona Shaw,David Yates Daniel Radcliffe Adventure Family Fantasy Mystery Robert Pattinson Fiona Shaw
Mike Newell,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,Harry Potter and the Goblet of Fire,Rupert Grint,Mike Newell Daniel Radcliffe Adventure Family Fantasy Mystery Robert Pattinson Rupert Grint
Peter Berg,Charlize Theron,Action Drama,Will Smith,Hancock,Eddie Marsan,Peter Berg Charlize Theron Action Drama Will Smith Eddie Marsan
Francis Lawrence,Alice Braga,Drama Horror Sci-Fi,Will Smith,I Am Legend,Willow Smith,Francis Lawrence Alice Braga Drama Horror Sci-Fi Will Smith Willow Smith
Tim Burton,Christopher Lee,Adventure Comedy Family Fantasy,Johnny Depp,Charlie and the Chocolate Factory,David Kelly,Tim Burton Christopher Lee Adventure Comedy Family Fantasy Johnny Depp David Kelly
Brad Bird,John Ratzenberger,Animation Comedy Family Fantasy,Janeane Garofalo,Ratatouille,Brian Dennehy,Brad Bird John Ratzenberger Animation Comedy Family Fantasy Janeane Garofalo Brian Dennehy
Christopher Nolan,Liam Neeson,Action Adventure,Christian Bale,Batman Begins,Morgan Freeman,Christopher Nolan Liam Neeson Action Adventure Christian Bale Morgan Freeman
Eric Darnell,Jada Pinkett Smith,Action Adventure Animation Comedy Family,Bernie Mac,Madagascar: Escape 2 Africa,Cedric the Entertainer,Eric Darnell Jada Pinkett Smith Action Adventure Animation Comedy Family Bernie Mac Cedric the Entertainer
Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,Night at the Museum: Battle of the Smithsonian,Steve Coogan,Shawn Levy Rami Malek Adventure Comedy Family Fantasy Robin Williams Steve Coogan
Gavin Hood,Ryan Reynolds,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,X-Men Origins: Wolverine,Dominic Monaghan,Gavin Hood Ryan Reynolds Action Adventure Fantasy Sci-Fi Thriller Hugh Jackman Dominic Monaghan
Lana Wachowski,Collin Chou,Action Sci-Fi,Essie Davis,The Matrix Revolutions,Nona Gaye,Lana Wachowski Collin Chou Action Sci-Fi Essie Davis Nona Gaye
Chris Buck,Maurice LaMarche,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,Frozen,Livvy Stubenrauch,Chris Buck Maurice LaMarche Adventure Animation Comedy Family Fantasy Musical Josh Gad Livvy Stubenrauch
Lana Wachowski,Daniel Bernhardt,Action Sci-Fi,Steve Bastoni,The Matrix Reloaded,Helmut Bakaitis,Lana Wachowski Daniel Bernhardt Action Sci-Fi Steve Bastoni Helmut Bakaitis
Alan Taylor,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,Thor: The Dark World,Anthony Hopkins,Alan Taylor Natalie Portman Action Adventure Fantasy Chris Hemsworth Anthony Hopkins
George Miller,Charlize Theron,Action Adventure Sci-Fi Thriller,Tom Hardy,Mad Max: Fury Road,Zoë Kravitz,George Miller Charlize Theron Action Adventure Sci-Fi Thriller Tom Hardy Zoë Kravitz
Ron Howard,Ayelet Zurer,Mystery Thriller,Tom Hanks,Angels & Demons,Armin Mueller-Stahl,Ron Howard Ayelet Zurer Mystery Thriller Tom Hanks Armin Mueller-Stahl
Kenneth Branagh,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,Thor,Anthony Hopkins,Kenneth Branagh Natalie Portman Action Adventure Fantasy Chris Hemsworth Anthony Hopkins
Byron Howard,Diedrich Bader,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,Bolt,James Lipton,Byron Howard Diedrich Bader Adventure Animation Comedy Drama Family Chloë Grace Moretz James Lipton
Hoyt Yeatman,Piper Mackenzie Harris,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,G-Force,Niecy Nash,Hoyt Yeatman Piper Mackenzie Harris Action Adventure Animation Comedy Family Fantasy Sci-Fi Kelli Garner Niecy Nash
